text,start,duration,end,dominant_emotion
"So I always recommend potassium for diabetic
clients.",93.75,5.44,99.19,
This is another one.,99.19,1.0,100.19,
Muscle weakness.,100.19,1.0,101.19,
"You could have this unexplainable muscle weakness
and not know why.",101.19,2.76,103.95,
Why?,103.95,1.0,104.95,
"Because the electrolytes are needed to help
the muscles contract.",104.95,4.66,109.61,
And that's why you have abnormal heartbeat.,109.61,2.35,111.96,
Because the heart is a muscle.,111.96,2.28,114.24,
Same thing with this muscle.,114.24,1.3,115.53999999999999,
Same thing with that muscles.,115.54,2.23,117.77000000000001,
"These abnormal heartbeats, for example, like
atrial fibrillation, arrhythmias, that's a",117.77,7.9,125.67,
"combination of a deficiency of potassium and/or
magnesium.",125.67,5.229,130.899,
Anxiety.,130.899,1.641,132.54,
"And sleeping problems, because potassium is
something to calm you down.",132.54,4.699,137.239,
"If you're doing something that doesn't involve
a lot of � Like, some diet that doesn't",137.239,4.61,141.84900000000002,
"involve enough potassium, you can start manifesting
a lot of these symptoms.",141.849,4.67,146.51899999999998,
"Now, let's just go into what causes low potassium.",146.519,3.991,150.51000000000002,
"Well, if you are sick and you vomit or, let's
say, you're a bulimic, that can cause that.",150.51,6.52,157.03,
"Or maybe you're just not eating enough in
your diet.",157.03,2.45,159.48,fear
"Now, you might say, ""Well, I eat bananas.""",159.48,2.569,162.04899999999998,
Right?,162.049,1.0,163.049,fear
"Well, bananas only have 300 mg.",163.049,5.39,168.439,
"You need 4,700 mg per day to hit your regular
amount that you need.",168.439,9.511,177.95,
"You would have to consume 12 bananas, 11 bananas.",177.95,3.759,181.70899999999997,
We don't want all that sugar.,181.709,2.821,184.53,
"So what we want to do is we want to consume
our potassium from vegetables, from salad.",184.53,5.769,190.299,
"And you're going to need about seven to 10
cups.",190.299,2.58,192.87900000000002,surprise
"If you watch my other videos, I talk about
that.",192.879,2.351,195.23,
It's not that hard.,195.23,1.099,196.32899999999998,
You just have a couple big salads.,196.329,1.211,197.54000000000002,fear
"If you don't like salad, take kale, maybe
a little bit of berry, blend it with water,",197.54,5.24,202.78,
and drink your salad.,202.78,2.51,205.29,
That'll get the potassium in there.,205.29,1.41,206.7,
So we want to start to increase that.,206.7,1.81,208.51,
And that's how we increase it from the diet.,208.51,1.589,210.099,
"You're going to feel a lot better, too.",210.099,1.791,211.89,
"Because if you're doing like an Atkins diet,
high protein, you're going to definitely need",211.89,5.019,216.909,
potassium.,216.909,1.0,217.909,
"You're going to start feeling weakness, because
you don't have enough potassium.",217.909,7.06,224.969,
"Ketosis is the state of fat-burning when you're
eating more fat, no carbs, and you can become",224.969,6.501,231.47,
"deficient in potassium from that, too.",231.47,2.919,234.389,surprise
"That's why they always modify the ketosis
diet, and I make sure that we have enough",234.389,3.85,238.239,surprise
greens and vegetables to help balance that.,238.239,4.12,242.359,
"Also, potassium is necessary for the digestion
and breakdown and buildup of protein.",242.359,11.11,253.469,
"People that are losing their hair, for example,
and they're eating just protein thinking that",253.469,4.481,257.95,
"they're going to get their hair back, without
potassium, sorry, it doesn't work.",257.95,4.33,262.28,
So we've got diuretics.,262.28,1.09,263.36999999999995,
"Say, you're out of blood pressure medication.",263.37,2.36,265.73,
"Well, you're going to deplete your potassium
and keep the blood pressure there.",265.73,4.43,270.16,
Interesting.,270.16,1.0,271.16,
That's the diuretic.,271.16,2.82,273.98,
That's one of the side effects.,273.98,1.32,275.3,
"So you better make sure that your diuretic
is not pulling out potassium and you're not",275.3,5.36,280.66,
putting it back in.,280.66,1.53,282.19,
High cortisol.,282.19,1.0,283.19,
That's stress.,283.19,2.25,285.44,
Stress can also deplete potassium.,285.44,2.4,287.84,
"In fact, I've had people do advanced testing
on their potassium levels, and they are eating",287.84,8.09,295.92999999999995,
"a tremendous amount of potassium, but because
they're under a tremendous amount of stress,",295.93,5.3,301.23,
their potassium stays low.,301.23,2.97,304.20000000000005,
"Because with the adrenal, it's almost like
you have a hole in the bucket and the potassium",304.2,3.35,307.55,
goes right through.,307.55,1.98,309.53000000000003,happy
"Again, when you're under stress, you need
even more potassium.",309.53,4.76,314.28999999999996,
"Anyway, this potassium is really important.",314.29,3.03,317.32,
I forgot one.,317.32,1.53,318.84999999999997,
"It's also high insulin will cause a low potassium,
and that's sugar.",318.85,6.02,324.87,
So let's just add that to the list.,324.87,2.37,327.24,
Consuming sugar will deplete your potassium.,327.24,2.55,329.79,
And you can even feel it in your heartbeat.,329.79,1.8,331.59000000000003,NA
"It starts to go boom, boom, boom, boom, fast.",331.59,3.29,334.88,NA
"A strong heartbeat, you can hear it in your
inner ear.",334.88,3.51,338.39,NA
"That is a sign of low potassium because you
just ate a lot of sugar, and you need to start",338.39,4.35,342.74,NA
consuming more salad to put that back.,342.74,3.82,346.56,NA
Last one is drinking too much water.,346.56,3.72,350.28000000000003,NA
"This goes against what everyone says, that
you have to drink when you're � By the time",350.28,3.92,354.2,NA
"you drink, it's too late, because you don't
know when you're thirsty and � That's just",354.2,3.76,357.96,NA
a myth.,357.96,1.0,358.96,NA
"When you drink too much water, you create
a condition called hyponatremia, which is",358.96,5.54,364.5,NA
"a dilution of all your electrolytes, and then
your heart starts going out of balance and",364.5,5.27,369.77,NA
"you can have a heart attack by drinking too
much water.",369.77,2.36,372.13,NA
"So you want to drink when you're thirsty so
you don't flush out all your electrolytes.",372.13,4.96,377.09,NA
"Because you're drinking water, but you're
peeing out electrolytes.",377.09,2.46,379.54999999999995,NA
You're not putting in electrolytes.,379.55,1.7,381.25,NA
"I like to hydrate my water with lemon, a little
bit of apple cider vinegar, maybe a little",381.25,4.85,386.1,NA
Stevia if it's carbonated.,386.1,1.3,387.40000000000003,NA
"I drink Pellegrino a lot or I drink filtered
water.",387.4,4.27,391.66999999999996,NA
"I just want to kind of give you an overall
on this very common deficiency that people",391.67,5.16,396.83000000000004,NA
"have and the symptoms so you can start thinking
with it.",396.83,3.12,399.95,NA
"And if you start having any of these, then
you know it could be connected with that,",399.95,4.33,404.28,NA
and then you know the cause of that.,404.28,2.71,406.98999999999995,NA
Okay?,406.99,1.0,407.99,NA
I hope that helped.,407.99,1.0,408.99,NA
I will see you in the next video.,408.99,0.18,409.17,NA
